Index,GPS time,EKF Temp,EKF Tick,EKF Raw Z Gyro,EKF Raw X Gyro,EKF Raw Y Gyro,EKF Raw X Accel,EKF Raw Y Accel,EKF Raw Z Accel,EKF Tick SF,EKF Gyro SF,EKF Gyro Bias,EKF Tick SF Calib,EKF Gyro SF Calib,EKF Gyro B Calib
107,,32.26,,-3.00,-0.30,-3.91,-8.84,-3.35,2.98,,,,,,
108,,32.24,,1.37,1.69,-0.57,-9.27,-3.87,3.22,,,,,,
109,,32.25,,-2.32,1.78,1.72,-9.37,-3.74,3.14,,,,,,
110,2018:522643.000,32.24,,-1.17,1.32,1.13,-9.01,-3.52,3.00,,,,,,
111,2018:522643.000,,,,,,,,,,,,,,
112,2018:522643.000,32.24,,-5.86,0.22,-1.86,-9.06,-3.63,2.98,,,,,,
113,,32.25,,-12.13,-0.70,1.07,-9.82,-2.92,2.84,,,,,,
114,,32.24,,-14.48,-1.35,-10.78,-10.07,-2.52,2.74,,,,,,
115,2018:522644.000,,,,,,,,,,,,,,
116,2018:522644.000,32.24,,11.82,2.53,13.30,-9.23,-3.35,2.78,,,,,,
117,,32.25,,25.52,22.46,-19.90,-4.97,-2.07,1.28,,,,,,
118,,32.25,,-12.17,11.07,18.26,-11.70,-3.61,4.08,,,,,,
119,2018:522645.000,32.26,,-4.35,2.60,-15.17,-10.04,-3.73,3.14,,,,,,
120,2018:522645.000,,,,,,,,,,,,,,
121,,32.27,,12.78,-0.42,-7.75,-9.00,-3.31,3.35,,,,,,
122,,32.23,,-0.17,-2.45,1.64,-8.81,-3.15,3.32,,,,,,
123,2018:522646.000,32.25,,-2.37,-0.87,3.60,-9.41,-3.23,3.68,,,,,,
124,2018:522646.000,,,,,,,,,,,,,,
125,2018:522646.000,32.25,,0.76,0.28,-5.86,-8.98,-3.17,3.41,,,,,,
126,,32.25,,0.47,-0.88,0.83,-9.30,-3.29,3.56,,,,,,
127,,32.26,,-1.68,-0.51,-1.50,-9.18,-3.24,3.61,,,,,,
128,2018:522647.000,32.25,,-0.65,-1.98,4.04,-9.08,-3.20,3.56,,,,,,
129,2018:522647.000,,,,,,,,,,,,,,
130,,32.26,,0.42,-2.77,0.34,-9.56,-3.40,3.65,,,,,,
131,,32.24,,0.82,-1.97,-1.14,-9.31,-3.20,3.55,,,,,,
132,2018:522648.000,32.26,,-0.41,-1.16,3.21,-9.42,-3.35,3.80,,,,,,
133,2018:522648.000,,,,,,,,,,,,,,
134,2018:522648.000,32.25,,1.27,-2.58,-2.06,-9.04,-3.16,3.47,,,,,,
135,,32.25,,-2.44,0.35,5.89,-9.54,-3.40,3.81,,,,,,
136,,32.25,,-1.26,-2.30,6.20,-9.25,-3.15,3.63,,,,,,
137,2018:522649.000,32.25,,2.12,-1.77,0.42,-9.29,-3.39,3.70,,,,,,
138,2018:522649.000,,,,,,,,,,,,,,
139,,32.26,,0.61,-1.90,1.83,-9.43,-3.23,3.67,,,,,,
140,,32.24,,0.63,-1.71,3.06,-9.09,-3.21,3.47,,,,,,
141,,32.25,,-0.24,0.55,0.26,-9.09,-3.10,3.38,,,,,,
142,2018:522650.000,,,,,,,,,,,,,,
143,2018:522650.000,32.25,,1.26,-0.03,-0.35,-9.16,-3.22,3.37,,,,,,
144,,32.23,,0.13,0.33,0.61,-9.11,-3.24,3.38,,,,,,
145,,32.25,,-1.93,0.80,-2.09,-9.24,-3.39,3.50,,,,,,
146,2018:522651.000,32.24,,0.57,1.03,-0.35,-9.25,-3.54,3.53,,,,,,
147,2018:522651.000,,,,,,,,,,,,,,
148,,32.24,,2.47,1.39,-1.30,-9.05,-3.54,3.56,,,,,,
149,,32.25,,1.85,0.51,0.26,-8.94,-3.41,3.68,,,,,,
150,2018:522652.000,32.25,,-1.03,-0.86,3.59,-9.06,-3.03,3.49,,,,,,
151,2018:522652.000,,,,,,,,,,,,,,
152,2018:522652.000,32.27,,-1.41,-0.07,0.94,-8.84,-3.12,3.43,,,,,,
153,,32.25,,-1.38,0.03,1.23,-8.97,-3.15,3.41,,,,,,
154,,32.26,,1.43,0.46,-3.62,-9.01,-3.35,3.52,,,,,,
155,2018:522653.000,,,,,,,,,,,,,,
